"","gene_id","control1","control2","treat1","treat2"
"646","NM_000692",261,257,264,257
"647","NM_000693",15,11,13,7
"648","NM_000694",0,0,0,0
"649","NM_000695",0,0,0,0
"650","NM_000696",972,957,956,661
"651","NM_000697",25,22,16,14
"652","NM_000698",0,0,0,0
"653","NM_000699",0,0,0,0
"654","NM_000700",6039,5275,7955,7435
"655","NM_000701",77,75,92,90
"656","NM_000702",30,47,4,4
"657","NM_000704",0,1,0,0
"658","NM_000705",1,1,0,1
"659","NM_000706",0,0,3,2
"660","NM_000707",0,0,0,0
"661","NM_000709",0,0,0,0
"662","NM_000710",76,62,203,199
"663","NM_000712",0,0,0,0
"664","NM_000713",360,377,285,215
"665","NM_000714",0,0,0,0
"666","NM_000715",0,0,0,0
"667","NM_000716",0,0,0,0
"668","NM_000717",3,2,1,0
"669","NM_000718",0,0,0,0
"670","NM_000719",0,0,0,0
"671","NM_000720",0,0,0,0
"672","NM_000721",0,0,0,0
"673","NM_000722",229,224,304,274
"674","NM_000723",49,31,37,28
"675","NM_000724",0,0,0,0
"676","NM_000725",0,0,0,0
"677","NM_000726",0,0,0,0
"678","NM_000727",0,1,0,0
"679","NM_000728",0,0,0,0
"680","NM_000729",0,0,0,0
"681","NM_000730",0,0,0,1
"682","NM_000732",0,0,0,0
"683","NM_000733",0,0,0,0
"684","NM_000734",0,0,0,0
"685","NM_000735",0,0,0,0
"686","NM_000737",1,3,2,0
"687","NM_000738",0,0,0,2
"688","NM_000739",0,0,0,0
"689","NM_000740",2,4,3,5
"690","NM_000741",2,0,3,1
"691","NM_000742",0,0,0,0
"692","NM_000743",0,0,0,0
"693","NM_000744",0,0,0,0
"694","NM_000745",1,1,3,3
"695","NM_000746",0,0,0,0
"696","NM_000747",34,45,49,43
"697","NM_000748",23,5,8,12
"698","NM_000749",0,0,0,0
"699","NM_000750",0,0,1,0
"700","NM_000751",0,0,0,0
"701","NM_000754",36,35,39,27
"702","NM_000755",0,0,0,0
"703","NM_000756",0,0,5,4
"704","NM_000757",0,0,0,0
"705","NM_000758",1,4,8,9
"706","NM_000759",0,0,0,0
"707","NM_000760",0,0,0,0
"708","NM_000761",0,0,1,1
"709","NM_000762",1,1,0,0
"710","NM_000764",0,0,0,0
"711","NM_000765",0,0,16,17
"712","NM_000766",0,0,0,0
"713","NM_000767",0,0,0,0
"714","NM_000769",0,1,2,0
"715","NM_000770",0,0,0,0
"716","NM_000771",0,0,2,3
"717","NM_000772",0,0,0,1
"718","NM_000773",9,7,10,8
"719","NM_000774",0,0,0,0
"720","NM_000775",2,2,5,1
"721","NM_000777",0,0,0,0
"722","NM_000778",0,0,0,0
"723","NM_000779",0,0,0,0
"724","NM_000780",0,0,0,0
"725","NM_000781",0,0,0,0
"726","NM_000782",0,0,0,0
"727","NM_000783",0,0,0,0
"728","NM_000784",229,214,155,124
"729","NM_000785",7,3,11,17
"730","NM_000786",116,104,95,80
"731","NM_000787",0,1,1,2
"732","NM_000788",140,117,126,123
"733","NM_000789",63,50,34,30
"734","NM_000790",0,0,0,0
"735","NM_000791",0,0,0,0
"736","NM_000792",0,0,0,0
"737","NM_000793",0,1,2,1
"738","NM_000794",0,1,3,0
"739","NM_000795",0,0,0,0
"740","NM_000796",0,0,0,0
"741","NM_000797",0,1,0,0
"742","NM_000798",0,0,0,0
"743","NM_000799",0,1,0,0
"744","NM_000800",0,0,0,0
"745","NM_000801",0,0,0,0
"746","NM_000802",0,0,0,0
"747","NM_000803",0,0,0,0
"748","NM_000804",4,5,26,36
"749","NM_000805",0,0,0,0
"750","NM_000806",0,0,0,0
"751","NM_000807",0,0,0,0
"752","NM_000808",0,0,0,1
"753","NM_000809",0,0,0,0
"754","NM_000810",0,0,0,0
"755","NM_000811",0,0,1,0
"756","NM_000812",0,0,0,0
"757","NM_000813",0,0,0,0
"758","NM_000814",0,0,0,0
"759","NM_000815",0,0,2,0
"760","NM_000816",0,0,0,0
"761","NM_000817",0,0,3,7
"762","NM_000818",0,0,0,1
"763","NM_000819",0,0,0,0
"764","NM_000820",3024,2537,5365,4635
"765","NM_000821",0,0,0,0
"766","NM_000823",0,0,1,0
"767","NM_000824",0,0,0,0
"768","NM_000825",21,12,12,13
"769","NM_000826",0,0,0,0
"770","NM_000827",0,0,0,0
"771","NM_000828",4,5,5,2
"772","NM_000829",0,0,0,0
"773","NM_000830",2,1,2,1
"774","NM_000831",0,0,5,3
"775","NM_000832",0,0,0,0
"776","NM_000833",0,0,0,0
"777","NM_000834",0,1,0,2
"778","NM_000835",0,0,0,0
"779","NM_000836",10,5,9,15
"780","NM_000837",7,7,6,5
"781","NM_000839",0,0,0,1
"782","NM_000840",0,0,0,1
"783","NM_000841",0,0,0,0
"784","NM_000842",0,0,0,0
"785","NM_000843",5,3,0,2
"786","NM_000844",0,0,0,0
"787","NM_000845",0,0,0,0
"788","NM_000846",0,0,0,0
"789","NM_000847",0,0,1,3
"790","NM_000848",91,100,55,14
"791","NM_000849",12,14,9,10
"792","NM_000850",0,0,0,0
"793","NM_000851",74,66,32,30
"794","NM_000852",2195,2247,2905,2378
"795","NM_000853",0,0,0,0
"796","NM_000854",0,0,0,0
"797","NM_000855",0,0,0,0
"798","NM_000856",0,0,0,0
"799","NM_000857",0,0,0,0
"800","NM_000858",13,16,28,23
"801","NM_000859",19,17,12,6
"802","NM_000860",0,0,0,0
"803","NM_000861",0,0,0,0
"804","NM_000862",0,0,0,0
"805","NM_000863",14,11,15,7
"806","NM_000864",0,0,2,0
"807","NM_000865",0,0,0,0
"808","NM_000866",0,0,0,0
"809","NM_000867",78,64,24,31
"810","NM_000868",0,0,0,0
"811","NM_000869",0,0,0,0
"812","NM_000870",0,0,0,0
